date,time,NO2,datetime,year,month
2020-01-01,01:00:00,28.07566,2020-01-01T01:00:00Z,2020,Jan
2020-01-01,02:00:00,41.93712,2020-01-01T02:00:00Z,2020,Jan
2020-01-01,03:00:00,41.84531,2020-01-01T03:00:00Z,2020,Jan
2020-01-01,04:00:00,42.61565,2020-01-01T04:00:00Z,2020,Jan
2020-01-01,05:00:00,27.43039,2020-01-01T05:00:00Z,2020,Jan
2020-01-01,06:00:00,15.27232,2020-01-01T06:00:00Z,2020,Jan
2020-01-01,07:00:00,11.38915,2020-01-01T07:00:00Z,2020,Jan
2020-01-01,08:00:00,13.32895,2020-01-01T08:00:00Z,2020,Jan
2020-01-01,09:00:00,20.44495,2020-01-01T09:00:00Z,2020,Jan
2020-01-01,10:00:00,25.65705,2020-01-01T10:00:00Z,2020,Jan
2020-01-01,11:00:00,21.13143,2020-01-01T11:00:00Z,2020,Jan
2020-01-01,12:00:00,16.10012,2020-01-01T12:00:00Z,2020,Jan
2020-01-01,13:00:00,16.35214,2020-01-01T13:00:00Z,2020,Jan
2020-01-01,14:00:00,17.96864,2020-01-01T14:00:00Z,2020,Jan
2020-01-01,15:00:00,20.34148,2020-01-01T15:00:00Z,2020,Jan
2020-01-01,16:00:00,18.8295,2020-01-01T16:00:00Z,2020,Jan
2020-01-01,17:00:00,20.37306,2020-01-01T17:00:00Z,2020,Jan
2020-01-01,18:00:00,18.9769,2020-01-01T18:00:00Z,2020,Jan
2020-01-01,19:00:00,24.36486,2020-01-01T19:00:00Z,2020,Jan
2020-01-01,20:00:00,17.75236,2020-01-01T20:00:00Z,2020,Jan
2020-01-01,21:00:00,18.00433,2020-01-01T21:00:00Z,2020,Jan
2020-01-01,22:00:00,19.18971,2020-01-01T22:00:00Z,2020,Jan
2020-01-01,23:00:00,17.10618,2020-01-01T23:00:00Z,2020,Jan
2020-01-01,24:00:00,14.26604,2020-01-02T00:00:00Z,2020,Jan
2020-01-02,01:00:00,9.81442,2020-01-02T01:00:00Z,2020,Jan
2020-01-02,02:00:00,6.79748,2020-01-02T02:00:00Z,2020,Jan
2020-01-02,03:00:00,4.34422,2020-01-02T03:00:00Z,2020,Jan
2020-01-02,04:00:00,3.94944,2020-01-02T04:00:00Z,2020,Jan
2020-01-02,05:00:00,4.41613,2020-01-02T05:00:00Z,2020,Jan
2020-01-02,06:00:00,6.10321,2020-01-02T06:00:00Z,2020,Jan
2020-01-02,07:00:00,7.68335,2020-01-02T07:00:00Z,2020,Jan
2020-01-02,08:00:00,11.88806,2020-01-02T08:00:00Z,2020,Jan
2020-01-02,09:00:00,14.32961,2020-01-02T09:00:00Z,2020,Jan
2020-01-02,10:00:00,11.77992,2020-01-02T10:00:00Z,2020,Jan
2020-01-02,11:00:00,8.94479,2020-01-02T11:00:00Z,2020,Jan
2020-01-02,12:00:00,10.55975,2020-01-02T12:00:00Z,2020,Jan
2020-01-02,13:00:00,11.2786,2020-01-02T13:00:00Z,2020,Jan
2020-01-02,14:00:00,11.02706,2020-01-02T14:00:00Z,2020,Jan
2020-01-02,15:00:00,11.34988,2020-01-02T15:00:00Z,2020,Jan
2020-01-02,16:00:00,20.4335,2020-01-02T16:00:00Z,2020,Jan
2020-01-02,17:00:00,21.58205,2020-01-02T17:00:00Z,2020,Jan
2020-01-02,18:00:00,17.23789,2020-01-02T18:00:00Z,2020,Jan
2020-01-02,19:00:00,14.86699,2020-01-02T19:00:00Z,2020,Jan
2020-01-02,20:00:00,11.3501,2020-01-02T20:00:00Z,2020,Jan
