date,time,NO2
01/01/2023,01:00:00,18.88178
01/01/2023,02:00:00,10.68551
01/01/2023,03:00:00,9.56496
01/01/2023,04:00:00,6.72161
01/01/2023,05:00:00,5.63376
01/01/2023,06:00:00,4.18541
01/01/2023,07:00:00,3.56411
01/01/2023,08:00:00,3.77012
01/01/2023,09:00:00,3.92475
01/01/2023,10:00:00,4.44187
01/01/2023,11:00:00,5.99085
01/01/2023,12:00:00,8.67852
01/01/2023,13:00:00,6.71779
01/01/2023,14:00:00,8.2154
01/01/2023,15:00:00,9.24753
01/01/2023,16:00:00,11.88146
01/01/2023,17:00:00,11.00621
01/01/2023,18:00:00,14.46521
01/01/2023,19:00:00,16.94385
01/01/2023,20:00:00,15.85706
01/01/2023,21:00:00,27.84271
01/01/2023,22:00:00,32.45381
01/01/2023,23:00:00,13.84219
01/01/2023,24:00:00,12.13687
02/01/2023,01:00:00,10.33831
02/01/2023,02:00:00,9.99377
02/01/2023,03:00:00,8.1151
02/01/2023,04:00:00,7.28756
02/01/2023,05:00:00,6.56469
02/01/2023,06:00:00,5.8922
02/01/2023,07:00:00,6.56404
02/01/2023,08:00:00,7.23562
02/01/2023,09:00:00,9.51164
02/01/2023,10:00:00,10.08012
02/01/2023,11:00:00,10.75537
02/01/2023,12:00:00,9.98252
02/01/2023,13:00:00,10.13638
02/01/2023,14:00:00,10.81202
02/01/2023,15:00:00,16.13325
02/01/2023,16:00:00,14.48249
02/01/2023,17:00:00,45.51769
02/01/2023,18:00:00,66.02045
02/01/2023,19:00:00,59.83624
02/01/2023,20:00:00,41.69636
02/01/2023,21:00:00,41.97412
02/01/2023,22:00:00,35.1437
02/01/2023,23:00:00,28.0278
02/01/2023,24:00:00,22.39139
03/01/2023,01:00:00,16.7665
03/01/2023,02:00:00,17.79967
03/01/2023,03:00:00,22.0921
03/01/2023,04:00:00,34.30411
03/01/2023,05:00:00,30.16343
03/01/2023,06:00:00,21.004
03/01/2023,07:00:00,22.14539
03/01/2023,08:00:00,31.31015
03/01/2023,09:00:00,33.18223
03/01/2023,10:00:00,25.36655
03/01/2023,11:00:00,25.10258
03/01/2023,12:00:00,39.72449
03/01/2023,13:00:00,35.76861
03/01/2023,14:00:00,26.34808
03/01/2023,15:00:00,23.13602
03/01/2023,16:00:00,19.87445
03/01/2023,17:00:00,14.75225
03/01/2023,18:00:00,14.38899
03/01/2023,19:00:00,11.48964
03/01/2023,20:00:00,11.90346
03/01/2023,21:00:00,8.0222
03/01/2023,22:00:00,6.57253
03/01/2023,23:00:00,4.14107
03/01/2023,24:00:00,3.51943
04/01/2023,01:00:00,3.45391
04/01/2023,02:00:00,4.14424
04/01/2023,03:00:00,3.3668
04/01/2023,04:00:00,3.31515
04/01/2023,05:00:00,3.10702
04/01/2023,06:00:00,3.52122
04/01/2023,07:00:00,5.4378
04/01/2023,08:00:00,6.32017
04/01/2023,09:00:00,5.64697
04/01/2023,10:00:00,5.59532
04/01/2023,11:00:00,5.80333
04/01/2023,12:00:00,
04/01/2023,13:00:00,
04/01/2023,14:00:00,5.39003
04/01/2023,15:00:00,5.80488
04/01/2023,16:00:00,8.28995
04/01/2023,17:00:00,9.68839
